Season,Episode,EpisodeName,Rating,UserVotes,EpisodeNum
1,01,Winter Is Coming,8.9,17132,101
1,02,The Kingsroad,8.7,12945,102
1,03,Lord Snow,8.6,12201,103
1,04,"Cripples, Bastards, and Broken Things",8.7,11533,104
1,05,The Wolf and the Lion,9.0,12337,105
1,06,A Golden Crown,9.1,12005,106
1,07,You Win or You Die,9.2,12356,107
1,08,The Pointy End,9.0,11132,108
1,09,Baelor,9.5,16048,109
1,10,Fire and Blood,9.4,14274,110
2,01,The North Remembers,8.8,11403,201
2,02,The Night Lands,8.5,10498,202
2,03,What Is Dead May Never Die,8.8,10364,203
2,04,Garden of Bones,8.7,9736,204
2,05,The Ghost of Harrenhal,8.8,9947,205
2,06,The Old Gods and the New,9.0,10685,206
2,07,A Man Without Honor,8.9,10272,207
2,08,The Prince of Winterfell,8.7,10093,208
2,09,Blackwater,9.7,19428,209
2,10,Valar Morghulis,9.4,13615,210
3,01,Valar Dohaeris,8.7,12158,301
3,02,"Dark Wings, Dark Words",8.6,10360,302
3,03,Walk of Punishment,8.8,10380,303
3,04,And Now His Watch Is Ended,9.5,15403,304
3,05,Kissed by Fire,8.9,10324,305
3,06,The Climb,8.7,10319,306
3,07,The Bear and the Maiden Fair,8.6,9980,307
3,08,Second Sons,8.9,10265,308
3,09,The Rains of Castamere,9.9,47891,309
3,10,Mhysa,9.0,12223,310
4,01,Two Swords,9.1,16268,401
4,02,The Lion and the Rose,9.7,27679,402
4,03,Breaker of Chains,8.8,12406,403
4,04,Oathkeeper,8.7,11570,404
4,05,First of His Name,8.7,10978,405
4,06,The Laws of Gods and Men,9.7,22791,406
4,07,Mockingbird,9.1,12590,407
4,08,The Mountain and the Viper,9.7,25781,408
4,09,The Watchers on the Wall,9.5,19785,409
4,10,The Children,9.6,20347,410
5,01,The Wars to Come,8.4,13529,501
5,02,The House of Black and White,8.5,10520,502
5,03,High Sparrow,8.5,9889,503
5,04,Sons of the Harpy,8.7,10441,504
5,05,Kill the Boy,8.6,10702,505
5,06,"Unbowed, Unbent, Unbroken",7.8,12399,506
5,07,The Gift,9.0,12504,507
5,08,Hardhome,9.9,52385,508
5,09,The Dance of Dragons,9.4,21776,509
5,10,Mother's Mercy,8.8,21728,510
6,01,The Red Woman,8.4,20763,601
6,02,Home,9.5,25735,602
6,03,Oathbreaker,8.7,15217,603
6,04,Book of the Stranger,9.2,16797,604
6,05,The Door,9.8,35366,605
6,06,Blood of My Blood,8.3,14663,606
6,07,The Broken Man,8.6,14042,607
6,08,No One,8.2,16238,608
6,09,Battle of the Bastards,10.0,114266,609
6,10,The Winds of Winter,10.0,66937,610
